KavyaSharma,kavya.sharma@gmail.com,passw0rd$
ManishKumar,manish.kumar@yahoo.com,letmein_123
SnehaGupta,sneha.gupta@hotmail.com,password@123
AmitSingh,amit.singh@gmail.com,abc123_
DivyaPatel,divya.patel@gmail.com,mysecret@123
RajeevVerma,rajeev.verma@yahoo.com,secure4_pwd
AnjaliShah,anjali.shah@hotmail.com,iloveyou1@12
NaveenKumar,naveen.kumar@gmail.com,hello123$
MeeraNair,meera.nair@yahoo.com,football12%
VikasRao,vikas.rao@gmail.com,india_123
DeepakMehta,deepak.mehta@hotmail.com,abc@12345678
MukeshJain,mukesh.jain@gmail.com,pa$$word4
ShaliniDesai,shalini.desai@yahoo.com,letmein%%11
SanjayGandhi,sanjay.gandhi@hotmail.com,abcdefg@2
AnitaMenon,anita.menon@gmail.com,qwerty&123
RahulShukla,rahul.shukla@yahoo.com,password@1
SmitaShah,smita.shah@hotmail.com,iloveindia_9
AkashVerma,akash.verma@gmail.com,asdfghjkl$4
TanviPatel,tanvi.patel@yahoo.com,1q2w3e4r_
VivekSingh,vivek.singh@hotmail.com,mylove@123
PriyaRaj,priya.raj@gmail.com,letmein_12
SureshNair,suresh.nair@yahoo.com,secret@123
JyotiSharma,jyoti.sharma@hotmail.com,football@123
AlokGupta,alok.gupta@gmail.com,india@456
MalaMukherjee,mala.mukherjee@yahoo.com,hello_there2
RohitKumar,rohit.kumar@hotmail.com,1234567890abc_
AnjuRao,anju.rao@gmail.com,pa$$w0rd44
KunalShah,kunal.shah@yahoo.com,123abc_456
RajeshKapoor,rajesh.kapoor@hotmail.com,abcdef_222
NishaPatel,nisha.patel@gmail.com,qwertyuiop_09
VikramSingh,vikram.singh@yahoo.com,letmein_1234
DivyaVerma,divya.verma@hotmail.com,iloveindia#123
RakeshJain,rakesh.jain@gmail.com,asdfgh@22
AartiShah,aarti.shah@yahoo.com,1qaz2wsx%
NehaGupta,neha.gupta@hotmail.com,letmein@1
NitinKumar,nitin.kumar@gmail.com,secret_1234
AnitaRao,anita.rao@yahoo.com,football_456
KishoreSharma,kishore.sharma@hotmail.com,india@789
ShilpaSingh,shilpa.singh@gmail.com,abc_1234567
VinodKumar,vinod.kumar@yahoo.com,pa$$word123
AnjaliPatel,anjali.patel@hotmail.com,abcdef@123
AlokVerma,alok.verma@gmail.com,qwerty@12345
SonaliNair,sonali.nair@yahoo.com,lethahah_23
aarzoo04,aarzoo044@gmail.com,aarzoo@04
